Hala-Muži-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,6.59,,1A,Ivo Krsek,67,Dukla Praha,Praha,14.2.1996
2,6.6,,1,Zdeněk Stromšík,94,SSK Vítkovice,Linz,10.2.2018
3,6.61,,1A,Jiří Hudec,64,VŠ Praha,Jablonec n. N.,4.2.1989
4,6.61,,1b11,Dominik Záleský,95,VSK Univerzita Brno,Praha,9.1.2018
5,6.63,,2s1,Jiří Valík,66,RH Praha,Glasgow,3.3.1990
6,6.65,,1,Jan Veleba,86,ARC Brno,Praha,19.2.2011
7,6.65,,1s1,Pavel Maslák,91,AO Slavia Havířov,Praha,15.2.2014
8,6.66,,1,Libor Žilka,86,PSK Olymp Praha,Praha,21.2.2009
9,6.67,,2A,Ivo Pištěk,63,TJ Vítkovice,Jablonec n. N.,7.2.1987
10,6.7,,2A,Martin Morkes,71,Dukla Praha,Praha,14.2.1996
11,6.7,,1B,Martin Duda,75,USK Praha,Chemnitz,29.1.1999
12,6.7,,1,Marek Bakalár,95,A.C. Tepo Kladno,Praha,22.2.2014
13,6.71,,1,Martin Břeň,78,SSK Vítkovice,Praha,21.2.2004
14,6.72,,1,Josef Lomický,58,Dukla Praha,Wien,31.1.1985
15,6.72,,2b1,Ivan Šlehobr,76,USK Praha,Praha,12.2.1997
16,6.72,,2,Vojtěch Kolarčík,95,SSK Vítkovice,Ostrava,20.1.2018
17,6.72,,3,Štěpán Hampl,99,TJ Sokol Kolín - atletika,Praha,17.2.2018
18,6.73,,1s2,Roman Zubek,78,Dukla Praha,Jablonec n. N.,9.2.2002
19,6.74,,2,Radek Řechka,75,USK Praha,Praha,12.2.2000
20,6.74,,1,Jan Stokláska,83,ASK Slavia Praha,Praha,19.2.2005
21,6.74,,1,Jan Stokláska,83,ASK Slavia Praha,Praha,19.2.2005
22,6.76,,1b13,Marcel Kadlec,94,ASK Slavia Praha,Praha,28.1.2014
23,6.76,,4,Vojtěch Netymach,95,AC Pardubice,Praha,15.2.2014
,,,,,,,,
Hala-Muži-200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,20.52,,1,Pavel Maslák,91,Dukla Praha,Praha,16.2.2014
2,20.69,,1b2,Radek Zachoval,78,Dukla Praha,Wien,12.2.2001
3,20.85,,1,Jan Jirka,93,ASK Slavia Praha,Praha,22.2.2015
4,20.93,,2r5,Jiří Vojtík,81,PSK Olymp Praha,Madrid,5.3.2005
5,21.09,,2b3,Ivan Šlehobr,76,USK Praha,Wien,15.2.1997
6,21.16,,1b3,Jan Schiller,85,ASK Slavia Praha,Chemnitz,27.2.2009
7,21.15,,3,Patrik  Šorm ,93,Dukla Praha ,Praha,18.2.2018
8,21.18,,3r4,Jiří Valík,66,PSK Olymp Praha,Genova,29.2.1992
9,21.18,,1,Jiří  Polák,98,Sokol České Budějovice,Ostrava,19.2.2017
10,21.21,,1b1 ,Michal Desenský,93,Sokol Hradec Králové,Praha,
11,21.22,,1b2,Walter Pilch,71,LIAZ Jablonec n. N.,Wien,6.2.1994
12,21.23,,1A,Martin Morkes,71,Dukla Praha,Praha,23.2.1997
13,21.23,,2r3,Rudolf Götz,83,ASK Slavia Praha,Luxembourg,29.1.2005
14,21.26,,1,Tomáš Němejc,0,Sokol České Budějovice,Ostrava,25.2.2018
15,21.28,,2,Petr Szetei,84,AK Škoda Plzeň,Praha,24.2.2008
16,21.31,,2,Daniel Vejražka,0,TJ Klášterec nad Ohří,Ostrava,25.2.2018
17,21.36,,2b1,Jindřich Roun,65,Sparta ČKD Praha,Athína,6.2.1988
18,21.38,,2,Ivo Rýznar,67,RH Praha,Athína,20.2.1988
19,21.39,,1,Josef Prorok,87,ASK Slavia Praha,Praha,28.2.2010
20,21.39,,1b1,Vít Műller,96,Sokol Hradec Králové,Ostrava,9.2.2019
21,21.42,,1,Jiří Janoušek,67,RH Praha,Wien,31.1.1988
22,21.42,,1b1,Pavel Jiráň,85,PSK Olymp Praha,Praha,9.2.2010
23,21.43,,1b1,Milan Bělošek,63,Sparta ČKD Praha,Spala,6.1.1989
,,,,,,,,
Hala-Muži-400 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,45.24,,1,Pavel Maslák,91,Dukla Praha,Sopot,8.3.2014
2,46.21,,1,Karel Kolář,55,LIAZ Jablonec n. N.,Wien,25.2.1979
3,46.21,,2,Jan Tesař,90,Slavoj Stará Boleslav,Praha,22.2.2015
4,46.32,,3s2,Jiří Mužík,76,Dukla Praha,Wien,2.3.2002
5,46.39,,2b1,Karel Bláha,75,Dukla Praha,Stuttgart,6.2.2000
6,46.49,,3,Patrik  Šorm ,93,Dukla Praha ,Praha,22.2.2015
7,46.71,,2b1,Vít Müller,96,Sokol Hradec Králové,Praha,10.2.2018
8,46.73,,1b7,Jiří Vojtík,81,PSK Olymp Praha,Wien,10.2.2007
9,46.74,,4,Daniel Němeček,91,Dukla Praha,Praha,22.2.2015
10,46.78,,1A,Jan Poděbradský,74,Dukla Praha,Praha,15.2.1998
11,46.88,,1b8,Josef Prorok,87,ASK Slavia Praha,Wien,16.2.2010
12,46.91,,MSb1,Michal  Desenský ,93,Sokol Hradec Králové,Praha,3.2.2018
13,46.96,,1,Petr Szetei,84,AK Škoda Plzeň,Praha,22.2.2009
14,46.98,,4s1,Jiří Janoušek,67,PSK Olymp Praha,Genova,29.2.1992
15,47,,2A,Štěpán Tesařík,78,Dukla Praha,Praha,18.2.2001
16,47,,1,Rudolf Götz,83,ASK Slavia Praha,Praha,24.2.2008
17,47.05,,1b3,Filip  Šnejdr,95,ASK Slavia Praha,Praha,3.2.2018
18,47.13,,2b2,Lukáš Souček,75,PSK Olymp Praha,Wien,17.2.1996
19,47.15,,1b10,Theodor Jareš,87,ASK Slavia Praha,Wien,16.2.2010
20,47.21,,1b1,Jindřich Roun,65,Sparta ČKD Praha,Budapest,2.2.1986
21,47.28,,2A,Jan Mazanec,82,Jiskra Domažlice,Bratislava,2.3.2003
22,47.32,,1b3,Petr Břečka,62,RH Praha,Wien,1.2.1987
,,,,,,,,
Hala-Muži-800 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:46.1,,2,Jakub Holuša,88,Dukla Praha,Karlsruhe,31.1.2010
2,01:46.4,,1b1,Pavel Soukup,71,USK Praha,Ludwigshafen,25.1.1995
3,01:46.5,,3,Roman Oravec,78,USK Praha,Dortmund,30.1.2000
